x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32
0.42875,0.49963,-0.80038,0.45446,0.4493,-0.74913,0.46902,0.45171,-0.74914,0.48355,0.45485,-0.74936,0.40768,0.4456,-0.75062,0.39117,0.44623,-0.74989,0.37539,0.44794,-0.75003,0.50788,0.48785,-0.41803,0.34993,0.47942,-0.40285,0.4552,0.5652,-0.67563,0.39662,0.56308,-0.67146,0.63245,0.81519,-0.21697,0.21994,0.81627,-0.32951,0.72282,1.18517,-0.22262,0.1644,1.20328,-0.31772,0.73398,1.47824,-0.59477,0.16849,1.48686,-0.75285,0.76441,1.5846,-0.70293,0.14284,1.58718,-0.8726,0.71524,1.58935,-0.76492,0.18969,1.60211,-0.94724,0.6979,1.54217,-0.63951,0.20592,1.55771,-0.79871,0.56553,1.50905,-0.04104,0.31349,1.52655,0.04578,0.57026,2.07804,0.06758,0.33345,2.0965,0.18118,0.58732,2.57463,0.69345,0.35895,2.59061,0.61924,0.59587,2.66702,0.72959,0.35665,2.67925,0.64858,0.55542,2.73172,0.24132,0.40373,2.74912,0.11501
0.42871,0.49999,-0.74531,0.45451,0.44917,-0.69679,0.46905,0.4515,-0.6967,0.48379,0.45459,-0.69683,0.40767,0.4456,-0.70284,0.39108,0.44624,-0.70212,0.37534,0.44794,-0.7025,0.50817,0.48751,-0.38409,0.35013,0.47917,-0.39387,0.4554,0.56527,-0.62647,0.39662,0.56316,-0.63018,0.63217,0.81521,-0.18569,0.22023,0.8154,-0.31946,0.72018,1.18529,-0.13744,0.16341,1.20607,-0.2735,0.72752,1.48002,-0.38214,0.15553,1.48768,-0.60757,0.75816,1.58621,-0.45739,0.13905,1.59251,-0.70625,0.71051,1.59291,-0.51122,0.1822,1.604,-0.78627,0.69226,1.54675,-0.42065,0.19906,1.56014,-0.65458,0.56501,1.50963,-0.03123,0.30178,1.52309,0.03619,0.56078,2.07814,-0.01913,0.30849,2.09285,0.0426,0.55858,2.57975,0.5063,0.30963,2.59075,0.38271,0.56453,2.66948,0.53038,0.30546,2.67977,0.39884,0.51672,2.7412,0.04196,0.34484,2.74725,-0.13697
0.42876,0.5022,-0.7524,0.45479,0.44968,-0.70359,0.46916,0.45197,-0.70349,0.48409,0.45511,-0.70361,0.40796,0.44681,-0.70906,0.39119,0.44764,-0.70832,0.37551,0.44941,-0.70861,0.50832,0.4881,-0.38761,0.35074,0.47984,-0.39567,0.45566,0.56657,-0.63254,0.39695,0.56411,-0.63535,0.6318,0.81459,-0.18386,0.22246,0.81465,-0.31801,0.71935,1.17728,-0.11735,0.1634,1.20352,-0.26238,0.72843,1.46899,-0.37174,0.15618,1.47922,-0.6029,0.75981,1.57163,-0.44887,0.13882,1.58991,-0.70569,0.71593,1.5811,-0.51063,0.18139,1.59959,-0.78488,0.6964,1.5368,-0.4138,0.19827,1.55608,-0.64942,0.56774,1.50471,-0.02646,0.30206,1.51441,0.03128,0.56607,2.06723,0.0025,0.31829,2.08085,0.05026,0.5644,2.5724,0.55974,0.31367,2.58416,0.41929,0.56861,2.6597,0.58715,0.31065,2.67323,0.43824,0.52488,2.73476,0.09707,0.356,2.73432,-0.10683
0.42991,0.50315,-0.75511,0.45612,0.44984,-0.70484,0.47097,0.45206,-0.70482,0.48653,0.45521,-0.7051,0.40935,0.44729,-0.71681,0.39262,0.44814,-0.71609,0.37714,0.44997,-0.71646,0.51134,0.48839,-0.39027,0.35159,0.48026,-0.41481,0.45724,0.56762,-0.63492,0.39863,0.56497,-0.64447,0.63531,0.81955,-0.17905,0.22261,0.81465,-0.33197,0.71494,1.18833,-0.11671,0.16183,1.2046,-0.25987,0.71295,1.48074,-0.40431,0.15599,1.4864,-0.57909,0.73901,1.58604,-0.48982,0.13885,1.59384,-0.68251,0.69402,1.59474,-0.55043,0.18155,1.60302,-0.76246,0.67729,1.54732,-0.44688,0.19824,1.55838,-0.62443,0.56704,1.50657,-0.01577,0.29859,1.51397,0.02067,0.55555,2.06824,-0.00553,0.30854,2.08003,0.01163,0.5471,2.5758,0.51848,0.30241,2.5842,0.35173,0.55178,2.66291,0.54224,0.29807,2.67388,0.36575,0.50337,2.74038,0.04369,0.33815,2.73491,-0.18608
0.43506,0.50382,-0.90799,0.46056,0.44986,-0.8471,0.47618,0.45208,-0.84715,0.49107,0.45527,-0.84737,0.41363,0.44733,-0.86271,0.39646,0.44815,-0.86203,0.38064,0.44997,-0.86243,0.51468,0.48881,-0.467,0.35499,0.48028,-0.52319,0.46213,0.56977,-0.76232,0.40456,0.5659,-0.77918,0.63615,0.82012,-0.1962,0.2238,0.8117,-0.37911,0.7142,1.18859,-0.12398,0.15395,1.20521,-0.26108,0.71954,1.48286,-0.43283,0.15061,1.48668,-0.61306,0.75099,1.58886,-0.52228,0.13457,1.59789,-0.72349,0.70832,1.60147,-0.59035,0.17703,1.60942,-0.80583,0.68959,1.55324,-0.47954,0.19182,1.56372,-0.66095,0.56602,1.50661,-0.00973,0.2948,1.51294,0.01479,0.55554,2.06849,-0.03896,0.30703,2.07734,-0.09041,0.55203,2.58,0.48406,0.30736,2.58676,0.26051,0.55753,2.66971,0.50575,0.3032,2.68213,0.27307,0.51058,2.74643,-0.03932,0.34496,2.73535,-0.33083
0.4335,0.50539,-0.77638,0.4599,0.45009,-0.73276,0.47508,0.45223,-0.73261,0.49054,0.45538,-0.73271,0.41283,0.44905,-0.73727,0.39585,0.45072,-0.73654,0.38027,0.45336,-0.73691,0.51463,0.48909,-0.43247,0.35523,0.48386,-0.44554,0.46136,0.57031,-0.6617,0.4032,0.56848,-0.66406,0.64241,0.82322,-0.19656,0.23333,0.8141,-0.36891,0.71487,1.20471,-0.12555,0.16972,1.20482,-0.26657,0.71989,1.50159,-0.34473,0.16207,1.48968,-0.62111,0.75152,1.60539,-0.41538,0.13646,1.59806,-0.7266,0.70887,1.61494,-0.47544,0.17874,1.60947,-0.80235,0.69013,1.56828,-0.38496,0.19577,1.56407,-0.66733,0.57285,1.5065,-0.01174,0.30081,1.51033,0.01676,0.55796,2.06872,-0.02824,0.30827,2.07647,-0.01252,0.55449,2.57997,0.52991,0.31235,2.58585,0.36872,0.56059,2.66907,0.55616,0.30829,2.67903,0.38759,0.51462,2.74624,-0.03682,0.35023,2.73538,-0.18698
0.43891,0.50537,-0.77432,0.46379,0.45007,-0.72658,0.47956,0.45218,-0.72642,0.49464,0.45537,-0.72648,0.41845,0.44904,-0.73035,0.40166,0.4507,-0.72961,0.38571,0.45334,-0.72993,0.52014,0.48939,-0.42391,0.36153,0.48425,-0.42962,0.46599,0.57035,-0.65913,0.40938,0.56847,-0.66033,0.64904,0.82637,-0.21215,0.23807,0.81834,-0.36677,0.7162,1.21192,-0.17626,0.18634,1.21238,-0.30662,0.72053,1.50221,-0.4135,0.16967,1.49616,-0.72366,0.75161,1.60537,-0.49268,0.14161,1.6056,-0.84001,0.70839,1.6138,-0.53408,0.18387,1.61543,-0.91698,0.68985,1.56738,-0.449,0.20326,1.57062,-0.77297,0.57753,1.50764,-0.02068,0.30312,1.50986,0.02584,0.55832,2.0711,0.04841,0.30924,2.07667,0.10373,0.55304,2.58064,0.69438,0.30764,2.58613,0.56963,0.55822,2.66913,0.73195,0.30338,2.67905,0.60013,0.51255,2.74731,0.24081,0.34119,2.7369,0.0481
0.44202,0.50791,-0.87931,0.46594,0.45127,-0.82729,0.48206,0.45307,-0.82732,0.49717,0.45609,-0.82747,0.41991,0.45112,-0.83586,0.40309,0.45327,-0.83522,0.38736,0.45633,-0.83562,0.52238,0.48975,-0.48023,0.36405,0.48856,-0.50125,0.47007,0.57335,-0.74602,0.41358,0.57232,-0.75197,0.65155,0.82715,-0.22228,0.24273,0.819,-0.40112,0.71938,1.21235,-0.17698,0.18394,1.21927,-0.32122,0.72649,1.50172,-0.51234,0.17434,1.50505,-0.71132,0.7565,1.60517,-0.61355,0.14732,1.61087,-0.82713,0.71438,1.61339,-0.6834,0.18944,1.62035,-0.90958,0.69572,1.56661,-0.56216,0.20723,1.5748,-0.76,0.57866,1.51078,-0.01532,0.30548,1.51104,0.02026,0.55991,2.07335,0.05116,0.30947,2.07735,0.07855,0.55358,2.58287,0.66557,0.31063,2.58675,0.56183,0.55864,2.67134,0.69893,0.30655,2.67931,0.58979,0.51489,2.7493,0.22245,0.3452,2.7379,-0.01815
0.4432,0.50782,-0.85847,0.46792,0.45124,-0.8075,0.48397,0.45305,-0.80745,0.4992,0.45609,-0.80766,0.42208,0.45107,-0.81621,0.40519,0.4532,-0.81547,0.38955,0.45628,-0.81576,0.52452,0.48987,-0.46495,0.36642,0.48851,-0.48184,0.47111,0.57334,-0.72712,0.41454,0.57217,-0.73193,0.65148,0.82879,-0.22686,0.24464,0.82077,-0.39752,0.71942,1.2126,-0.20631,0.18243,1.21918,-0.30943,0.72974,1.5012,-0.55957,0.17266,1.50491,-0.67532,0.75995,1.60416,-0.66259,0.14717,1.61165,-0.79102,0.71872,1.611,-0.73073,0.18939,1.6204,-0.87835,0.69931,1.56505,-0.60832,0.20712,1.57515,-0.7254,0.57838,1.51336,-0.01576,0.30653,1.51217,0.02066,0.56006,2.0743,-0.01512,0.30988,2.07762,-0.01114,0.55467,2.58414,0.48839,0.31261,2.5868,0.32322,0.55968,2.67209,0.50995,0.30875,2.67933,0.33642,0.51617,2.7506,0.01224,0.34788,2.73777,-0.21746
0.44343,0.50802,-0.76825,0.46932,0.45137,-0.72489,0.48519,0.45322,-0.72469,0.50059,0.45637,-0.7247,0.42405,0.45106,-0.72944,0.40738,0.45309,-0.72868,0.39185,0.45592,-0.72891,0.52591,0.49007,-0.43051,0.36897,0.48697,-0.43874,0.47101,0.57336,-0.65685,0.41466,0.57198,-0.65842,0.65027,0.82848,-0.22538,0.24384,0.8193,-0.37068,0.71933,1.21081,-0.2007,0.18,1.21234,-0.30876,0.72907,1.49841,-0.49313,0.17046,1.49707,-0.65564,0.75881,1.59946,-0.58321,0.14637,1.60094,-0.76157,0.71745,1.60348,-0.6391,0.18862,1.60496,-0.83959,0.69799,1.55998,-0.53465,0.20684,1.56284,-0.70192,0.57804,1.51284,-0.01621,0.30657,1.51188,0.0211,0.56005,2.07339,-0.01158,0.31027,2.07741,0.01255,0.55597,2.58408,0.52952,0.31402,2.58543,0.37063,0.56116,2.67172,0.55514,0.31025,2.67548,0.38884,0.51646,2.75026,0.03642,0.34959,2.73627,-0.15581
